"quarter" "adult" "youth" "policy"
"1" "Mar-86" 3.20616888999939 12.3999996185303 "Different"
"2" "Jun-86" 3.12668824195862 11.3000001907349 "Different"
"3" "Sep-86" 3.10961222648621 10.8999996185303 "Different"
"4" "Dec-86" 3.01436376571655 11.6999998092651 "Different"
"5" "Mar-87" 3.18927979469299 11.6999998092651 "Different"
"6" "Jun-87" 3.34834933280945 10.3999996185303 "Different"
"7" "Sep-87" 3.4126718044281 9.10000038146973 "Different"
"8" "Dec-87" 3.32755398750305 10.8999996185303 "Different"
"9" "Mar-88" 4.04142284393311 13.3000001907349 "Different"
"10" "Jun-88" 4.45075750350952 13.1000003814697 "Different"
"11" "Sep-88" 5.32761764526367 13.6999998092651 "Different"
"12" "Dec-88" 5.15811491012573 13.8000001907349 "Different"
"13" "Mar-89" 6.18808507919312 17.2000007629395 "Different"
"14" "Jun-89" 6.41532564163208 16.2000007629395 "Different"
"15" "Sep-89" 6.25340986251831 16 "Different"
"16" "Dec-89" 6.00338411331177 16.6000003814697 "Different"
"17" "Mar-90" 6.34738636016846 17.1000003814697 "Different"
"18" "Jun-90" 6.57921171188354 16.6000003814697 "Different"
"19" "Sep-90" 6.84259986877441 17.6000003814697 "Different"
"20" "Dec-90" 7.46860551834106 20.2999992370605 "Different"
"21" "Mar-91" 8.92868900299072 22 "Different"
"22" "Jun-91" 9.13848400115967 21.7999992370605 "Different"
"23" "Sep-91" 9.65182590484619 23.8999996185303 "Different"
"24" "Dec-91" 9.62127590179443 22.7999992370605 "Different"
"25" "Mar-92" 10.1719017028809 23.3999996185303 "Different"
"26" "Jun-92" 9.13898754119873 23 "Different"
"27" "Sep-92" 9.27285766601562 22.7999992370605 "Different"
"28" "Dec-92" 9.35818576812744 22.7999992370605 "Different"
"29" "Mar-93" 9.31303596496582 23.5 "Different"
"30" "Jun-93" 8.74459457397461 24.5 "Different"
"31" "Sep-93" 8.37732982635498 20 "Different"
"32" "Dec-93" 8.28632354736328 21.1000003814697 "Different"
"33" "Mar-94" 8.42609310150146 24 "Different"
"34" "Jun-94" 7.38213396072388 21 "Different"
"35" "Sep-94" 7.00304460525513 16.5 "Different"
"36" "Dec-94" 6.60124349594116 17.8999996185303 "Different"
"37" "Mar-95" 6.19415235519409 17.6000003814697 "Different"
"38" "Jun-95" 5.4702205657959 16 "Different"
"39" "Sep-95" 5.17554473876953 16.2999992370605 "Different"
"40" "Dec-95" 5.33150672912598 17.1000003814697 "Different"
"41" "Mar-96" 5.7021427154541 17.3999996185303 "Different"
"42" "Jun-96" 5.27367877960205 15.8000001907349 "Different"
"43" "Sep-96" 5.38425588607788 16.3999996185303 "Different"
"44" "Dec-96" 5.30377769470215 15.8000001907349 "Different"
"45" "Mar-97" 6.08292245864868 17.5 "Different"
"46" "Jun-97" 5.86904811859131 16.6000003814697 "Different"
"47" "Sep-97" 6.03832578659058 16.1000003814697 "Different"
"48" "Dec-97" 5.89317560195923 17.2999992370605 "Different"
"49" "Mar-98" 6.82092189788818 18.2000007629395 "Different"
"50" "Jun-98" 6.92738056182861 18.5 "Different"
"51" "Sep-98" 6.69668626785278 17.7999992370605 "Different"
"52" "Dec-98" 6.92197751998901 17.7000007629395 "Different"
"53" "Mar-99" 6.97621726989746 18.7000007629395 "Different"
"54" "Jun-99" 6.45713329315186 17.7000007629395 "Different"
"55" "Sep-99" 6.03857803344727 16.3999996185303 "Different"
"56" "Dec-99" 5.39121580123901 16.5 "Different"
"57" "Mar-00" 5.81487321853638 18.7000007629395 "Different"
"58" "Jun-00" 5.27847528457642 18.6000003814697 "Different"
"59" "Sep-00" 5.04651832580566 16.2000007629395 "Different"
"60" "Dec-00" 4.72954130172729 16.1000003814697 "Different"
"61" "Mar-01" 4.84581518173218 17.2999992370605 "Different"
"62" "Jun-01" 4.51195001602173 16 "Different"
"63" "Sep-01" 4.45407104492188 15.1999998092651 "Different"
"64" "Dec-01" 4.54471158981323 15.3000001907349 "Different"
"65" "Mar-02" 4.73331165313721 16.2999992370605 "Different"
"66" "Jun-02" 4.35159587860107 15.6000003814697 "Different"
"67" "Sep-02" 4.63387012481689 14.6000003814697 "Different"
"68" "Dec-02" 3.90662479400635 16.3999996185303 "Different"
"69" "Mar-03" 4.46015644073486 16.1000003814697 "Different"
"70" "Jun-03" 4.01740694046021 14.1000003814697 "Different"
"71" "Sep-03" 3.68365740776062 13.1999998092651 "Different"
"72" "Dec-03" 3.70331907272339 14.6999998092651 "Different"
"73" "Mar-04" 3.95716953277588 13.3999996185303 "Different"
"74" "Jun-04" 3.20107746124268 15.1999998092651 "Different"
"75" "Sep-04" 3.11090612411499 12.1999998092651 "Different"
"76" "Dec-04" 2.9044394493103 12 "Different"
"77" "Mar-05" 3.42352294921875 14.5 "Different"
"78" "Jun-05" 2.99011707305908 12.8000001907349 "Different"
"79" "Sep-05" 2.82328343391418 14.1999998092651 "Different"
"80" "Dec-05" 2.87787532806396 11.8000001907349 "Different"
"81" "Mar-06" 3.59951162338257 14.6999998092651 "Different"
"82" "Jun-06" 2.7385892868042 14.1000003814697 "Different"
"83" "Sep-06" 2.96928334236145 13.3000001907349 "Different"
"84" "Dec-06" 2.67983078956604 14.3999996185303 "Different"
"85" "Mar-07" 3.28270697593689 15.8999996185303 "Different"
"86" "Jun-07" 2.73490262031555 13.3999996185303 "Different"
"87" "Sep-07" 2.50048470497131 15.3999996185303 "Different"
"88" "Dec-07" 2.47678017616272 12.8999996185303 "Different"
"89" "Mar-08" 3.33797597885132 15.5 "Different"
"90" "Jun-08" 2.89323163032532 15.3999996185303 "Equal"
"91" "Sep-08" 3.21893501281738 15.6999998092651 "Equal"
"92" "Dec-08" 3.2717456817627 17.8999996185303 "Equal"
"93" "Mar-09" 4.52755928039551 19.1000003814697 "Equal"
"94" "Jun-09" 4.52909564971924 22.8999996185303 "Equal"
"95" "Sep-09" 4.94278764724731 25.1000003814697 "Equal"
"96" "Dec-09" 5.25220775604248 26.5 "Equal"
"97" "May-10" 5.21618509292603 25.2000007629395 "Equal"
"98" "Jun-10" 5.4194917678833 24.7000007629395 "Equal"
"99" "Sep-10" 5.08979272842407 23.2999992370605 "Equal"
"100" "Dec-10" 5.26793432235718 25.5 "Equal"
"101" "Mar-11" 5.63 27.5 "Equal"
"102" "Jun-11" 4.99 27.6 "Equal"
